"ccode","year","genocide","Mgenocide"
135,2000,0,1
135,2001,0,1
135,2002,0,1
135,2003,0,1
135,2004,0,1
135,2005,0,1
135,2006,0,1
135,2007,0,1
135,2008,0,1
135,2009,0,1
135,2010,0,1
140,1956,0,1
140,1957,0,1
140,1958,0,1
140,1959,0,1
140,1960,0,1
140,1961,0,1
140,1962,0,1
140,1963,0,1
140,1964,0,1
140,1965,0,1
140,1966,0,1
140,1967,0,1
140,1968,0,1
140,1969,0,1
140,1970,0,1
140,1971,0,1
140,1972,0,1
140,1973,0,1
140,1974,0,1
140,1975,0,1
140,1976,0,1
140,1977,0,1
140,1978,0,1
140,1979,0,1
140,1980,0,1
140,1981,0,1
140,1982,0,1
140,1983,0,1
140,1984,0,1
140,1985,0,1
140,1986,0,1
140,1987,0,1
140,1988,0,1
140,1989,0,1
140,1990,0,1
140,1991,0,1
140,1992,0,1
140,1993,0,1
140,1994,0,1
140,1995,0,1
140,1996,0,1
140,1997,0,1
140,1998,0,1
140,1999,0,1
140,2000,0,1
140,2001,0,1
140,2002,0,1
140,2003,0,1
140,2004,0,1
140,2005,0,1
140,2006,0,1
140,2007,0,1
140,2008,0,1
140,2009,0,1
140,2010,0,1
145,1956,0,1
145,1957,0,1
145,1958,0,1
145,1959,0,1
145,1960,0,1
145,1961,0,1
145,1962,0,1
145,1963,0,1
145,1964,0,1
145,1965,0,1
145,1966,0,1
145,1967,0,1
145,1968,0,1
145,1969,0,1
145,1970,0,1
145,1971,0,1
145,1972,0,1
145,1973,0,1
145,1974,0,1
145,1975,0,1
145,1976,0,1
145,1977,0,1
145,1978,0,1
145,1979,0,1
145,1980,0,1
145,1981,0,1
145,1982,0,1
145,1983,0,1
145,1984,0,1
145,1985,0,1
145,1986,0,1
145,1987,0,1
145,1988,0,1
145,1989,0,1
145,1990,0,1
145,1991,0,1
145,1992,0,1
145,1993,0,1
145,1994,0,1
145,1995,0,1
145,1996,0,1
145,1997,0,1
145,1998,0,1
145,1999,0,1
145,2000,0,1
145,2001,0,1
145,2002,0,1
145,2003,0,1
145,2004,0,1
145,2005,0,1
145,2006,0,1
145,2007,0,1
145,2008,0,1
145,2009,0,1
145,2010,0,1
150,1956,0,1
150,1957,0,1
150,1958,0,1
150,1959,0,1
150,1960,0,1
150,1961,0,1
150,1962,0,1
150,1963,0,1
150,1964,0,1
150,1965,0,1
150,1966,0,1
150,1967,0,1
150,1968,0,1
150,1969,0,1
150,1970,0,1
150,1971,0,1
150,1972,0,1
150,1973,0,1
150,1974,0,1
150,1975,0,1
150,1976,0,1
150,1977,0,1
150,1978,0,1
150,1979,0,1
150,1980,0,1
150,1981,0,1
150,1982,0,1
150,1983,0,1
150,1984,0,1
150,1985,0,1
150,1986,0,1
150,1987,0,1
150,1988,0,1
150,1989,0,1
150,1990,0,1
150,1991,0,1
150,1992,0,1
150,1993,0,1
150,1994,0,1
150,1995,0,1
150,1996,0,1
150,1997,0,1
150,1998,0,1
150,1999,0,1
150,2000,0,1
150,2001,0,1
150,2002,0,1
150,2003,0,1
150,2004,0,1
150,2005,0,1
150,2006,0,1
150,2007,0,1
150,2008,0,1
150,2009,0,1
150,2010,0,1
155,1956,0,1
155,1957,0,1
155,1958,0,1
155,1959,0,1
155,1960,0,1
155,1961,0,1
155,1962,0,1
155,1963,0,1
155,1964,0,1
155,1965,0,1
155,1966,0,1
